iter	Passed	Remaining
413	2950	4176
414	2960	4173
415	2964	4161
416	2970	4153
417	2976	4143
418	2980	4133
419	2990	4129
420	2993	4117
421	2997	4105
422	3007	4102
423	3011	4091
424	3020	4086
425	3026	4078
426	3034	4072
427	3040	4063
428	3045	4053
429	3054	4048
430	3058	4037
431	3066	4031
432	3071	4022
433	3076	4012
434	3083	4005
435	3089	3996
436	3094	3986
437	3105	3984
438	3110	3975
439	3118	3969
440	3122	3958
441	3131	3953
442	3137	3944
443	3142	3935
444	3152	3931
445	3157	3922
446	3167	3918
447	3171	3907
448	3181	3904
449	3187	3896
450	3191	3884
451	3199	3879
452	3205	3870
453	3210	3861
454	3217	3854
455	3223	3845
456	3231	3839
457	3234	3828
458	3237	3816
459	3241	3805
460	3247	3796
461	3250	3785
462	3254	3774
463	3261	3767
464	3265	3757
465	3270	3747
466	3279	3742
467	3285	3734
468	3290	3725
469	3301	3722
470	3306	3713
471	3314	3707
472	3319	3698
473	3324	3689
474	3330	3681
475	3336	3672
476	3345	3667
477	3350	3658
478	3359	3654
479	3365	3646
480	3376	3643
481	3382	3635
482	3393	3632
483	3398	3623
484	3410	3621
485	3415	3612
486	3424	3606
487	3429	3597
488	3433	3587
489	3442	3583
490	3447	3574
491	3457	3570
492	3462	3561
493	3467	3552
494	3476	3546
495	3482	3538
496	3493	3535
497	3498	3526
498	3507	3522
499	3514	3514
500	3523	3509
501	3529	3501
502	3532	3490
503	3538	3482
504	3541	3471
505	3545	3460
506	3548	3450
507	3554	3442
508	3557	3432
509	3564	3425
510	3575	3421
511	3585	3417
512	3593	3411
513	3604	3407
514	3608	3398
515	3619	3394
516	3624	3386
517	3630	3377
518	3635	3369
519	3639	3359
520	3644	3350
521	3652	3345
522	3656	3335
523	3659	3324
524	3665	3316
525	3669	3306
526	3672	3296
527	3676	3286
528	3684	3280
529	3690	3272
530	3698	3266
531	3703	3258
532	3708	3249
533	3718	3244
534	3724	3237
535	3732	3231
536	3739	3224
537	3748	3219
538	3756	3213
539	3766	3208
540	3775	3202
541	3787	3200
542	3797	3196
543	3805	3189
544	3811	3182
545	3819	3175
546	3824	3167
547	3836	3164
548	3839	3154
549	3846	3146
550	3850	3137
551	3853	3127
552	3857	3117
553	3864	3111
554	3867	3101
